Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,Error
6_blocks_sausage_3x3_kao.txt,0,58,23,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,23,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,24,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.904302273156404,13.897121,197187,8,10.637146,20.078809,
6_blocks_sausage_3x3_kao.txt,0,58,24,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,24,3,m3: Block + Conv + Modified Facto,OK,0.904302273156389,2.362500,191748,8,2.159000,2.409000,
6_blocks_sausage_3x3_kao.txt,0,58,24,2,m2: Block + Conv + Simple Facto,OK,0.904302273164503,2.684500,3058682,8,2.538000,2.795000,
6_blocks_sausage_3x3_kao.txt,0,58,24,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,24,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,25,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.940298293689224,1.963000,148956,8,1.900729,2.063547,
6_blocks_sausage_3x3_kao.txt,0,58,25,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,25,3,m3: Block + Conv + Modified Facto,OK,0.940298293689209,2.501500,191748,8,2.380000,2.673000,
6_blocks_sausage_3x3_kao.txt,0,58,25,2,m2: Block + Conv + Simple Facto,OK,0.940298293698523,4.096500,4286166,8,3.761000,4.840000,
6_blocks_sausage_3x3_kao.txt,0,58,25,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,
6_blocks_sausage_3x3_kao.txt,0,58,25,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,17,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.732540096906907,0.000241,36,8,0.000220,0.009744,
6_blocks_sausage_s3_kao.txt,0,42,17,4,m4: Cancela-Petingi (Nesterov),OK,0.732540096906907,0.442687,10004,8,0.401365,0.512341,
6_blocks_sausage_s3_kao.txt,0,42,17,3,m3: Block + Conv + Modified Facto,OK,0.732540096906806,0.095500,71116,8,0.080000,0.117000,
6_blocks_sausage_s3_kao.txt,0,42,17,2,m2: Block + Conv + Simple Facto,OK,0.732540096906806,0.069500,54668,8,0.057000,0.084000,
6_blocks_sausage_s3_kao.txt,0,42,17,1,m1: Block + Pure Facto,OK,0.732540096906806,7.326500,6458390,8,6.686000,7.585000,
6_blocks_sausage_s3_kao.txt,0,42,17,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,18,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.927278734799410,0.123937,12862,8,0.104934,0.196213,
6_blocks_sausage_s3_kao.txt,0,42,18,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,18,3,m3: Block + Conv + Modified Facto,OK,0.927278734799287,0.077500,71116,8,0.062000,0.080000,
6_blocks_sausage_s3_kao.txt,0,42,18,2,m2: Block + Conv + Simple Facto,OK,0.927278734799238,0.094500,119186,8,0.085000,0.123000,
6_blocks_sausage_s3_kao.txt,0,42,18,1,m1: Block + Pure Facto,OK,0.927278734799238,8.340000,9174172,8,7.331000,8.692000,
6_blocks_sausage_s3_kao.txt,0,42,18,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,19,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.972495069304002,0.108902,13560,8,0.087002,0.113661,
6_blocks_sausage_s3_kao.txt,0,42,19,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,19,3,m3: Block + Conv + Modified Facto,OK,0.972495069303873,0.064000,71116,1,0.064000,0.064000,
6_blocks_sausage_s3_kao.txt,0,42,19,2,m2: Block + Conv + Simple Facto,OK,0.972495069303796,0.174000,189724,1,0.174000,0.174000,
6_blocks_sausage_s3_kao.txt,0,42,19,1,m1: Block + Pure Facto,OK,0.972495069303796,10.609000,12995730,1,10.609000,10.609000,
6_blocks_sausage_s3_kao.txt,0,42,19,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,20,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.977148599798523,0.095606,12233,1,0.095606,0.095606,
6_blocks_sausage_s3_kao.txt,0,42,20,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,
6_blocks_sausage_s3_kao.txt,0,42,20,3,m3: Block + Conv + Modified Facto,OK,0.977148599798394,0.116000,71116,1,0.116000,0.116000,
6_blocks_sausage_s3_kao.txt,0,42,20,2,m2: Block + Conv + Simple Facto,OK,0.977148599798310,0.335000,260756,1,0.335000,0.335000,
6_blocks_sausage_s3_kao.txt,0,42,20,1,m1: Block + Pure Facto,OK,0.977148599798310,24.703000,18317764,1,24.703000,24.703000,
6_blocks_sausage_s3_kao.txt,0,42,20,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
Geant2004_kao.txt,11,95,6,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.632414790000000,0.002237,7,1,0.002237,0.002237,
Geant2004_kao.txt,11,95,6,4,m4: Cancela-Petingi (Nesterov),OK,0.632414790000000,0.000067,3,1,0.000067,0.000067,
Geant2004_kao.txt,11,95,6,3,m3: Block + Conv + Modified Facto,OK,0.632414789999997,0.007000,3045,1,0.007000,0.007000,
Geant2004_kao.txt,11,95,6,2,m2: Block + Conv + Simple Facto,OK,0.632414790007725,23.323000,14682400,1,23.323000,23.323000,
Geant2004_kao.txt,11,95,6,1,m1: Block + Pure Facto,OK,0.632414790007725,76.235000,51641642,1,76.235000,76.235000,
Geant2004_kao.txt,11,95,6,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
Geant2004_kao.txt,11,95,7,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.699064984718100,0.000903,62,1,0.000903,0.000903,
Geant2004_kao.txt,11,95,7,4,m4: Cancela-Petingi (Nesterov),OK,0.699064984718100,0.000202,14,1,0.000202,0.000202,
Geant2004_kao.txt,11,95,7,3,m3: Block + Conv + Modified Facto,OK,0.699064984718097,0.010000,3371,1,0.010000,0.010000,
Geant2004_kao.txt,11,95,7,2,m2: Block + Conv + Simple Facto,OK,0.699064984731161,52.101000,36934258,1,52.101000,52.101000,
Geant2004_kao.txt,11,95,7,1,m1: Block + Pure Facto,OK,0.699064984731161,163.685000,111371166,1,163.685000,163.685000,
Geant2004_kao.txt,11,95,7,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
Geant2004_kao.txt,11,95,8,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.765180873969210,0.003061,377,1,0.003061,0.003061,
Geant2004_kao.txt,11,95,8,4,m4: Cancela-Petingi (Nesterov),OK,0.765180873969210,0.000448,42,1,0.000448,0.000448,
Geant2004_kao.txt,11,95,8,3,m3: Block + Conv + Modified Facto,OK,0.765180873969207,0.037000,5083,1,0.037000,0.037000,
Geant2004_kao.txt,11,95,8,2,m2: Block + Conv + Simple Facto,OK,0.765180873983931,73.758000,59727108,1,73.758000,73.758000,
Geant2004_kao.txt,11,95,8,1,m1: Block + Pure Facto,OK,0.765180873983931,269.666000,194579184,1,269.666000,269.666000,
Geant2004_kao.txt,11,95,8,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,
Geant2004_kao.txt,11,95,9,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.776652881984733,0.002974,275,1,0.002974,0.002974,
Geant2004_kao.txt,11,95,9,4,m4: Cancela-Petingi (Nesterov),OK,0.776652881984733,0.002050,77,1,0.002050,0.002050,
Geant2004_kao.txt,11,95,9,3,m3: Block + Conv + Modified Facto,OK,0.776652881984730,0.322000,34308,1,0.322000,0.322000,
