Graph,S,T,D,MethodId,Method,Status,Reliability,TimeSec,Recursions,CompletedRuns,MinTimeSec,MaxTimeSec,TimeoutBudgetSec,Error
6_blocks_sausage_3x3_kao.txt,0,58,25,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.940298293689224,1.963000,148956,8,1.900729,2.063547,1800,
6_blocks_sausage_3x3_kao.txt,0,58,25,4,m4: Cancela-Petingi (Nesterov),TIMEOUT,,,0,0,,,1800,
6_blocks_sausage_3x3_kao.txt,0,58,25,3,m3: Block + Conv + Modified Facto,OK,0.940298293689209,2.501500,191748,8,2.380000,2.673000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,25,2,m2: Block + Conv + Simple Facto,OK,0.940298293698523,4.096500,4286166,8,3.761000,4.840000,1800,
6_blocks_sausage_3x3_kao.txt,0,58,25,1,m1: Block + Pure Facto,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_3x3_kao.txt,0,58,25,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_s3_kao.txt,0,42,17,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.732540096906907,0.000241,36,8,0.000220,0.009744,1800,
6_blocks_sausage_s3_kao.txt,0,42,17,4,m4: Cancela-Petingi (Nesterov),OK,0.732540096906907,0.442687,10004,8,0.401365,0.512341,1800,
6_blocks_sausage_s3_kao.txt,0,42,17,3,m3: Block + Conv + Modified Facto,OK,0.732540096906806,0.095500,71116,8,0.080000,0.117000,1800,
6_blocks_sausage_s3_kao.txt,0,42,17,2,m2: Block + Conv + Simple Facto,OK,0.732540096906806,0.069500,54668,8,0.057000,0.084000,1800,
6_blocks_sausage_s3_kao.txt,0,42,17,1,m1: Block + Pure Facto,OK,0.732540096906806,7.326500,6458390,8,6.686000,7.585000,300,
6_blocks_sausage_s3_kao.txt,0,42,17,0,m0: Pure Factoring,TIMEOUT,,,0,0,,,300,
6_blocks_sausage_s3_kao.txt,0,42,18,5,m5: Block + Conv + Modified Cancela-Petingi,OK,0.927278734799410,0.123937,12862,8,0.104934,0.196213,1800,
